0.01016,0.014,0.0002
0.0102108,0.014,0.0003
0.0102616,0.014,0.0002
0.0103124,0.015,0.0004
0.0103632,0.015,0.0006
0.010414,0.015,0.001
0.0104648,0.016,0.002
0.0105156,0.017,0.002
0.0105664,0.026,0.002
0.0106172,0.06,0.004
0.010668,0.176,0.008
0.0107188,0.46,0.02
0.0107696,0.849,0.015
0.0108204,1.364,0.018
0.0108712,1.971,0.01
0.010922,2.41,0.01
0.0109728,2.703,0.015
0.0110236,2.795,0.014
0.0110744,2.861,0.007
0.0111252,2.879,0.008
0.011176,2.884,0.007
0.0112268,2.894,0.005
0.0112776,2.889,0.002
0.0113284,2.886,0.001
0.0113792,2.89,0.001
0.01143,2.888,0.002
