{\rtf1\ansi\ansicpg1252\cocoartf2709
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fmodern\fcharset0 Courier;}
{\colortbl;\red255\green255\blue255;\red0\green0\blue0;}
{\*\expandedcolortbl;;\cssrgb\c0\c0\c0;}
\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\deftab720
\pard\pardeftab720\partightenfactor0

\f0\fs26 \cf0 \expnd0\expndtw0\kerning0
\outl0\strokewidth0 \strokec2 Days_since_Jan_1	Temp(F)\
0.035416666666666666	6.800000000000001\
0.07361111111111111	10.399999999999999\
0.125	8.599999999999998\
0.15694444444444444	10.399999999999999\
0.19791666666666666	8.599999999999998\
0.21805555555555556	8.599999999999998\
0.23263888888888887	12.2\
0.24583333333333332	10.399999999999999\
0.26041666666666663	10.399999999999999\
0.2743055555555555	10.399999999999999\
0.29166666666666663	12.2\
0.3020833333333333	12.2\
0.3159722222222222	12.2\
0.3333333333333333	12.2\
0.34375	12.2\
0.3576388888888889	12.2\
0.375	12.2\
0.38541666666666663	12.2\
0.3993055555555555	12.2\
0.41666666666666663	12.2\
0.4263888888888889	12.2\
0.44027777777777777	12.2\
0.4583333333333333	12.2\
0.46805555555555556	12.2\
0.48263888888888884	10.399999999999999\
0.5	10.399999999999999\
0.5361111111111111	10.399999999999999\
0.575	10.399999999999999\
0.6159722222222221	14.\
0.6583333333333333	17.6\
0.7416666666666666	19.4\
0.7833333333333333	17.6\
0.825	21.2\
0.8659722222222221	17.6\
0.8763888888888889	19.4\
0.90625	21.2\
0.9479166666666666	19.4\
0.9909722222222221	17.6\
1.036111111111111	46.4\
1.0743055555555554	46.4\
1.1145833333333333	19.4\
1.15625	15.8\
1.1993055555555554	15.8\
1.21875	21.2\
1.2319444444444443	23.\
1.2458333333333333	21.2\
1.2604166666666665	21.2\
1.2743055555555556	23.\
1.2916666666666665	24.8\
1.3020833333333333	24.8\
1.315972222222222	26.6\
1.3333333333333333	26.6\
1.34375	26.6\
1.3576388888888888	26.6\
1.375	28.4\
1.3854166666666665	28.4\
1.3993055555555556	28.4\
1.4166666666666665	30.2\
1.4270833333333333	30.2\
1.440972222222222	30.2\
1.4583333333333333	21.2\
1.46875	21.2\
1.4826388888888888	23.\
1.5	21.2\
1.53125	26.6\
1.5756944444444443	28.4\
1.625	33.8\
1.65625	35.6\
1.7006944444444443	35.6\
